amount,hour,merchant_risk,customer_age_days,transactions_last_24h,country,merchant_category,payment_method,is_fraud
25.99,14,0.10,1200,1,US,grocery,card,0
349.99,2,0.80,12,9,US,electronics,card,1
12.50,9,0.05,800,2,CA,cafe,wallet,0
1200.00,3,0.95,5,14,NG,jewelry,card,1
75.00,19,0.20,300,3,GB,travel,card,0
620.25,1,0.70,21,8,US,electronics,wallet,1
18.40,11,0.08,1600,1,US,grocery,card,0
980.00,4,0.88,9,11,BR,travel,bank_transfer,1
44.10,16,0.12,700,2,DE,cafe,card,0
210.00,23,0.55,40,6,US,gaming,wallet,1
